,Crime Type,Year,Latitude (Arlington),Longitude (Arlington)
23,PETIT LARCENY: SHOPLIFTING,2019,38.88585836,-77.09470665
24,GRAND LARCENY: SHOPLIFTING,2019,38.86474154,-77.0588379
25,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.88927712,-77.07840442
26,PETIT LARCENY: SHOPLIFTING,2019,38.86392857,-77.06506891
27,PETIT LARCENY:  SHOPLIFTING 3+ OFFENSE,2019,38.86238459,-77.05850699
28,BURGLARY: BREAK & ENTER AT NIGHT W/ INTENT TO COMMIT A FELONY OR LARCENY,2019,38.89608415,-77.10743398
29,POSSESSION OF SCHEDULE I/II CONTROLLED SUBSTANCE,2019,38.89148802,-77.07820706
30,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.88737549,-77.09440091
31,DUI,2019,38.88486945,-77.14348089
32,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.85127752,-77.10435552
33,PETIT LARCENY: SHOPLIFTING,2019,38.86377442,-77.06062072
34,GRAND LARCENY: MOTOR VEHICLE THEFT,2019,38.86427712,-77.05912645
35,POSSESSION OF SCHEDULE I/II CONTROLLED SUBSTANCE,2019,38.86534611,-77.06434581
36,GRAND LARCENY: SHOPLIFTING,2019,38.87764912,-77.1104469
37,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.89727862,-77.07182590000001
38,TAMPERING WITH VEHICLE (WITH DAMAGE/VANDALISM),2019,38.87841437,-77.14755421
39,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.87986514,-77.08802987
40,PUBLIC SWEARING OR INTOXICATION (DRUNK IN PUBLIC),2019,38.87510757,-77.10659345
41,GRAND LARCENY: MOTOR VEHICLE THEFT,2019,38.85748253,-77.11630712
42,GRAND LARCENY: SHOPLIFTING,2019,38.86484031,-77.06144211
43,CREDIT CARD FRAUD $500 W/IN 6 MONTHS OR CONSPIRE WITH ANOTHER,2019,38.89864256,-77.11542058
44,OBTAINING MONEY BY FALSE PRETENSES $500,2019,38.86523902,-77.05975421
45,OBTAINING MONEY BY FALSE PRETENSES $500,2019,38.89345833,-77.06684057
46,ASSAULT & BATTERY,2019,38.85884293,-77.11222553
47,GRAND LARCENY: SHOPLIFTING,2019,38.86550828,-77.06173927
48,GRAND LARCENY: SHOPLIFTING,2019,38.86521321,-77.06082122
49,PETIT LARCENY: THEFT FROM MOTOR VEHICLE 3+ OFFENSE,2019,38.87224836,-77.11005698
50,PETIT LARCENY: POCKET PICKING 3+ OFFENSE,2019,38.88774799,-77.09428824
51,POSSESSION OF SCHEDULE I/II CONTROLLED SUBSTANCE,2019,38.86938325,-77.04466
52,MALICIOUS WOUNDING BY MOB,2019,38.86058805,-77.07583362
53,PETIT LARCENY: THEFT FROM MOTOR VEHICLE 3+ OFFENSE,2019,38.88230975,-77.14372889
54,GRAND LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.88113733,-77.14294887
55,ASSAULT & BATTERY: FAMILY MEMBER,2019,38.85643341,-77.10738394
56,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.88221525,-77.15291362
57,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.86075955,-77.0552403
58,PUBLIC SWEARING OR INTOXICATION (DRUNK IN PUBLIC),2019,38.89151392,-77.08559872
59,GRAND LARCENY: THEFT FROM BUILDING,2019,38.89519501,-77.12801483
60,PETIT LARCENY: SHOPLIFTING,2019,38.86337827,-77.06017613
61,DUI,2019,38.88293864,-77.11396798
62,ID THEFT: OBTAIN 5 IDS TO DEFRAUD/SELL/DISTRIB =$500,2019,38.89153143,-77.07009899
63,CREDIT CARD FRAUD $500 W/IN 6 MONTHS OR CONSPIRE WITH ANOTHER,2019,38.8962454,-77.06968654
64,POSSESSION OR DISTRIBUTION OF CONTROLLED (DRUG) PARAPHERNALIA,2019,38.84848735,-77.11054974
65,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.90287042,-77.07635011
66,BURGLARY: W/ INTENT TO COMMIT LARCENY/ASSAULT & BATTERY/OTHER FELONY,2019,38.86486904,-77.05894651
67,ASSAULT & BATTERY,2019,38.90819288,-77.14471619
68,USE COMPUTER FOR HARASSMENT,2019,38.88500655,-77.09388452
69,PETIT LARCENY: SHOPLIFTING,2019,38.88553177,-77.09407233
70,ASSAULT & BATTERY,2019,38.88219399,-77.09385335
71,TAMPERING WITH VEHICLE (WITH DAMAGE/VANDALISM),2019,38.87978261,-77.14712447
72,POSSESSION OF MARIJUANA,2019,38.86211372,-77.09377122
73,DUI 3+ OFFENSE OR 2+ FELONY OFFENSE,2019,38.85096196,-77.05399196
74,ID THEFT: OBTAIN 5 IDS TO DEFRAUD/SELL/DISTRIB =$500,2019,38.88375498,-77.09602824
75,OBSTRUCTION OF JUSTICE/RESISTING ARREST/FLEEING FROM L.E.O./LYING TO L.E.O. RE: CRIME OF ANOTHER,2019,38.86512319,-77.08252303
76,TRESPASSING,2019,38.85456984,-77.04957846
77,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY $1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.89000968,-77.12215881
78,PETIT LARCENY: SHOPLIFTING,2019,38.86581385,-77.05802504
79,POSSESSION OF MARIJUANA,2019,38.87101726,-77.04560385
80,SELL/GIVE/DISTRIBUTE/PWID MARIJUANA: FELONY,2019,38.89096587,-77.08456378
81,PETIT LARCENY: SHOPLIFTING,2019,38.86280596,-77.06188258
82,MANUF/SELL/GIVE/DISTRIBUTE/PWID CONTROL SUBSTANCE: FELONY,2019,38.88938415,-77.08401162
83,CREDIT CARD THEFT,2019,38.86664233,-77.09663615
84,PETIT LARCENY: SHOPLIFTING,2019,38.86334855,-77.05787568
85,PETIT LARCENY: SHOPLIFTING,2019,38.88809291,-77.09790128
86,"HIT AND RUN - ATTENDED PROPERTY: DAMAGE $1,000",2019,38.8950864,-77.12656752
87,GRAND LARCENY: MOTOR VEHICLE THEFT,2019,38.8621757,-77.05970603
88,POSSESSION OR DISTRIBUTION OF CONTROLLED (DRUG) PARAPHERNALIA,2019,38.88940219,-77.07609693
89,PUBLIC SWEARING OR INTOXICATION (DRUNK IN PUBLIC),2019,38.88054003,-77.10884859999999
90,TRESPASSING,2019,38.85457132,-77.04860288
91,SELL/GIVE/DISTRIBUTE/PWID MARIJUANA: FELONY,2019,38.85419875,-77.10257021
92,DUI,2019,38.86783329,-77.06710606
93,TAMPERING WITH VEHICLE (WITH DAMAGE/VANDALISM),2019,38.89653799,-77.16518708
94,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY =$1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.86644012,-77.05860943
95,POSSESSION OF MARIJUANA,2019,38.8663606,-77.05342021
96,PETIT LARCENY: THEFT FROM MOTOR VEHICLE 3+ OFFENSE,2019,38.89431941,-77.16521316
97,TAMPERING WITH VEHICLE (WITH DAMAGE/VANDALISM),2019,38.89700655,-77.07653991
98,PETIT LARCENY: THEFT FROM BUILDING,2019,38.88110405,-77.08443776
99,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.87598632,-77.10438981
100,PETIT LARCENY: THEFT FROM MOTOR VEHICLE 3+ OFFENSE,2019,38.8613018,-77.05698599
101,GRAND LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.89236346,-77.08614387
102,OBTAINING MONEY BY FALSE PRETENSES $500,2019,38.88533476,-77.11732287
103,MANUF/SELL/GIVE/DISTRIBUTE/PWID CONTROL SUBSTANCE: FELONY,2019,38.88915434,-77.08399406
104,PETIT LARCENY: SHOPLIFTING,2019,38.86577674,-77.06180231
105,PETIT LARCENY: THEFT OF MOTOR VEHICLE PARTS,2019,38.85738767,-77.05611043
106,PETIT LARCENY: ALL OTHER LARCENY,2019,38.85688671,-77.08217489
107,PETIT LARCENY: SHOPLIFTING,2019,38.88613999,-77.09531738
108,GRAND LARCENY: SHOPLIFTING,2019,38.86074417,-77.06219211
109,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.85230113,-77.0492292
110,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.86646434,-77.06123907
111,PETIT LARCENY: THEFT FROM BUILDING,2019,38.89331197,-77.07616159999999
112,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.88643792,-77.16046555
113,POSSESSION OF MARIJUANA,2019,38.88370902,-77.11184173
114,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.85572924,-77.10338270000001
115,PETIT LARCENY: THEFT FROM MOTOR VEHICLE 3+ OFFENSE,2019,38.84219567,-77.10700866
116,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.85392444,-77.11471490000001
117,USE COMPUTER FOR HARASSMENT,2019,38.86392021,-77.07275762
118,SELL/GIVE/DISTRIBUTE/PWID MARIJUANA: FELONY,2019,38.86163773,-77.09754866
119,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.90818248,-77.15209743
120,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY =$1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.82920639,-77.08758138
121,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.90919535,-77.14664359
122,GRAND LARCENY: ALL OTHER LARCENY,2019,38.86642383,-77.06369991
123,PETIT LARCENY: ALL OTHER LARCENY,2019,38.88080892,-77.10883997
124,GRAND LARCENY: SHOPLIFTING,2019,38.8632021,-77.06465111
125,TRESPASSING,2019,38.86452362,-77.05901829999999
126,GRAND LARCENY: SHOPLIFTING,2019,38.86279135,-77.05934107
127,ASSAULT & BATTERY,2019,38.89043373,-77.08733324
128,SEXUAL BATTERY,2019,38.88116604,-77.11270708
129,SHOPLIFTING: CONCEALING MERCHANDISE/ALTERING PRICE $500,2019,38.86067319,-77.05717514
130,"HIT AND RUN - ATTENDED PROPERTY: DAMAGE $1,000",2019,38.89383838,-77.12867113
131,GRAND LARCENY: ALL OTHER LARCENY,2019,38.88993811,-77.09034087
132,PETIT LARCENY: SHOPLIFTING,2019,38.86118024,-77.06037049999999
133,PETIT LARCENY: SHOPLIFTING,2019,38.8628143,-77.05895649
134,GRAND LARCENY: THEFT FROM BUILDING,2019,38.88292339,-77.11831611
135,FALSELY SUMMON OR FALSE REPORT TO POLICE,2019,38.8986714,-77.09013934
136,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY $1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.88655341,-77.07542101
137,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.88706403,-77.09563579
138,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY $1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.8631094,-77.05148435
139,ANNOYING PHONE CALLS,2019,38.89805324,-77.10083241
140,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.88195497,-77.14240926
141,ID THEFT: OBTAIN 5 IDS TO DEFRAUD/SELL/DISTRIB =$500,2019,38.88683112,-77.08007667
142,ASSAULT & BATTERY: FAMILY MEMBER,2019,38.84550969,-77.09118739
143,PUBLIC SWEARING OR INTOXICATION (DRUNK IN PUBLIC),2019,38.87427374,-77.10782996
144,PETIT LARCENY: SHOPLIFTING,2019,38.86121958,-77.05988052
145,PETIT LARCENY: ALL OTHER LARCENY 3+ OFFENSE,2019,38.87198923,-77.13741474
146,TRESPASSING,2019,38.89614853,-77.08982243
147,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.88609228,-77.09483831
148,GRAND LARCENY: SHOPLIFTING,2019,38.86461361,-77.05980221
149,ID THEFT: OBTAIN 5 IDS TO DEFRAUD/SELL/DISTRIB =$500,2019,38.87401968,-77.1048987
150,"HIT AND RUN - ATTENDED PROPERTY: INJURY/DEATH (*OTHER THAN PEDESTRIAN*) OR DAMAGE $1,000+",2019,38.85571004,-77.11643403
151,STRANGULATION,2019,38.85180506,-77.1167172
152,UNAUTHORIZED USE OF VEHICLE/ETC =$500,2019,38.85362528,-77.06727478
153,POSSESSION OF MARIJUANA,2019,38.87321577,-77.0936916
154,GRAND LARCENY: MOTOR VEHICLE THEFT,2019,38.8866018,-77.08015338
155,PETIT LARCENY: SHOPLIFTING,2019,38.88593586,-77.09484764
156,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY $1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.89645042,-77.07462915
157,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY $1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.85667178,-77.10369069
158,DUI,2019,38.86972987,-77.09938283
159,ELUDING POLICE,2019,38.86929124,-77.04596418
160,ASSAULT & BATTERY,2019,38.84833922,-77.08755194
161,DUI,2019,38.86660566,-77.11440246
162,WEARING MASK IN PUBLIC PLACE,2019,38.89504705,-77.09757225
163,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.8854016,-77.09679738
164,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY $1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.88828612,-77.09211411
165,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.89102553,-77.08999706
166,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.86757936,-77.04965059999999
167,URINATING OR DEFACATING IN PUBLIC,2019,38.86310048,-77.08746208
168,ASSAULT & BATTERY,2019,38.84895732,-77.05398323
169,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.87758514,-77.10623878
170,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.88515167,-77.15860323
171,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.87782747,-77.09894036
172,PETIT LARCENY: SHOPLIFTING,2019,38.86110482,-77.06068007
173,PETIT LARCENY: SHOPLIFTING,2019,38.86490713,-77.05870135
174,PETIT LARCENY: ALL OTHER LARCENY,2019,38.85341006,-77.11974784
175,"HIT AND RUN - ATTENDED PROPERTY: DAMAGE $1,000",2019,38.90535082,-77.10973061
176,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.86225896,-77.09341359
177,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.86305965,-77.0622868
178,THREAT: IN WRITING,2019,38.86817938,-77.11541873
179,PETIT LARCENY: POCKET PICKING,2019,38.887851899999994,-77.09653148
180,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.84229826,-77.09896589
181,PETIT LARCENY: THEFT FROM BUILDING,2019,38.88555076,-77.1165167
182,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY $1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.89738259,-77.10856079
183,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.851536200000005,-77.1062786
184,PETIT LARCENY: THEFT FROM MOTOR VEHICLE 3+ OFFENSE,2019,38.89141543,-77.08298936
185,GRAND LARCENY: THEFT FROM BUILDING,2019,38.85020847,-77.09601743
186,GRAND LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.83671315,-77.09358323
187,ASSAULT & BATTERY: FAMILY MEMBER,2019,38.83712108,-77.09966694
188,GRAND LARCENY: THEFT FROM BUILDING,2019,38.88875745,-77.08157057
189,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.88059039,-77.09352365
190,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.89693719,-77.09349322
191,ROBBERY,2019,38.89560381,-77.09292506
192,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.84249186,-77.09023777
193,ASSAULT & BATTERY,2019,38.89547104,-77.06986049
194,DUI,2019,38.84793065,-77.08023608
195,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.84600917,-77.07774162
196,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.89121982,-77.09711596
197,DUI,2019,38.84488757,-77.10812606
198,ASSAULT & BATTERY,2019,38.87763771,-77.11128484
199,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY $1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.86426125,-77.09405983
200,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.86774223,-77.10746993
201,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.9018602,-77.12013507
202,ID THEFT: OBTAIN 5 IDS TO DEFRAUD/SELL/DISTRIB =$500,2019,38.89195246,-77.08525912
203,PETIT LARCENY: SHOPLIFTING,2019,38.86379943,-77.08671293
204,PETIT LARCENY: ALL OTHER LARCENY 3+ OFFENSE,2019,38.89542176,-77.07317389
205,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY $1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.85218357,-77.12134235
206,GRAND LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.8363344,-77.0899814
207,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.89809397,-77.1336007
208,GRAND LARCENY: THEFT FROM BUILDING,2019,38.87770859,-77.10902599
209,PETIT LARCENY: ALL OTHER LARCENY 3+ OFFENSE,2019,38.89936457,-77.06913899
210,GIVE FALSE IDENTITY TO LAW ENFORCEMENT OFFICER WHILE DETAINED,2019,38.89353305,-77.0731265
211,OBTAINING MONEY BY FALSE PRETENSES $500,2019,38.85587019,-77.10414228
212,OBTAINING MONEY BY FALSE PRETENSES $500,2019,38.90870763,-77.11991415
213,PETIT LARCENY: SHOPLIFTING,2019,38.86436665,-77.06230759999998
214,PETIT LARCENY: SHOPLIFTING,2019,38.86301528,-77.059519
215,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY $1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.87566167,-77.10851872
216,PETIT LARCENY: ALL OTHER LARCENY,2019,38.86306154,-77.05690473
217,PETIT LARCENY: SHOPLIFTING,2019,38.863166799999995,-77.06229351
218,OBTAINING MONEY BY FALSE PRETENSES $500,2019,38.88613941,-77.10970536
219,CREDIT CARD FRAUD =$500 W/IN 6 MONTHS,2019,38.87901288,-77.10993754
220,PETIT LARCENY: ALL OTHER LARCENY,2019,38.84154751,-77.05396445
221,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.88455602,-77.10497989
222,GRAND LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.86556314,-77.0596328
223,DUI,2019,38.89482166,-77.12696597
224,DUI,2019,38.88732201,-77.11959898
225,DUI,2019,38.86083461,-77.05072533
226,UNLAWFUL ENTRY,2019,38.85631866,-77.11593474
227,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.88588672,-77.14288029
228,STRANGULATION,2019,38.86453857,-77.0727543
229,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY =$1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.88286589,-77.10598553
230,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.87963811,-77.11929985
231,THREATS TO BOMB/BURN/DESTROY/DAMAGE BUILDING/STRUCTURE/ETC,2019,38.89097498,-77.12695131
232,EMBEZZLEMENT =$500,2019,38.86479841,-77.05909162
233,PETIT LARCENY: SHOPLIFTING,2019,38.86461461,-77.05890012
234,PETIT LARCENY: SHOPLIFTING,2019,38.86500075,-77.05969649
235,GRAND LARCENY: THEFT FROM BUILDING,2019,38.84896585,-77.11036063
236,ANNOYING PHONE CALLS,2019,38.88337328,-77.11100745
237,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.85271777,-77.08522619
238,"HIT AND RUN - ATTENDED PROPERTY: DAMAGE $1,000",2019,38.841086499999996,-77.05128064
239,MANUF/SELL/GIVE/DISTRIBUTE/PWID CONTROL SUBSTANCE: FELONY,2019,38.852016799999994,-77.11452674
240,CREDIT CARD FRAUD $500 W/IN 6 MONTHS OR CONSPIRE WITH ANOTHER,2019,38.88547409,-77.10912209
241,FUGITIVE FROM JUSTICE MISDEMEANOR CHARGE,2019,38.86501508,-77.05877235
242,OBTAINING MONEY BY FALSE PRETENSES $500,2019,38.87900725,-77.11181686
243,POSSESSION OF MARIJUANA,2019,38.86899366,-77.04819201
244,PETIT LARCENY: SHOPLIFTING,2019,38.89179094,-77.08349371
245,PUBLIC DRUNKENNESS (DRUNK IN PUBLIC),2019,38.8849511,-77.09824309
246,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.86574313,-77.06130777
247,ASSAULT & BATTERY: FAMILY MEMBER,2019,38.89357124,-77.0820084
248,POSSESSION OF MARIJUANA,2019,38.87005381,-77.09868494
249,GRAND LARCENY: MOTOR VEHICLE THEFT,2019,38.88162445,-77.10452723
250,PROSTITUTION,2019,38.88871058,-77.08485586
251,"HIT AND RUN - ATTENDED PROPERTY: DAMAGE $1,000",2019,38.8736187,-77.09255087
252,PETIT LARCENY: SHOPLIFTING,2019,38.86312814,-77.05684173
253,PETIT LARCENY: SHOPLIFTING,2019,38.86078888,-77.06057173
254,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.87263576,-77.14138922
255,ID THEFT: OBTAIN 5 IDS TO DEFRAUD/SELL/DISTRIB =$500,2019,38.85111684,-77.11777221
256,GRAND LARCENY: MOTOR VEHICLE THEFT,2019,38.88107674,-77.10509536
257,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY =$1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.8871268,-77.1296257
258,ASSAULT & BATTERY,2019,38.85141578,-77.05197525
259,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.87238059,-77.08563659
260,GRAND LARCENY: THEFT FROM BUILDING,2019,38.88159845,-77.1049442
261,PETIT LARCENY: SHOPLIFTING,2019,38.88069079,-77.11089391
262,POSSESS WEAPON AT SCHOOL,2019,38.84710179,-77.06970109999999
263,GRAND LARCENY: THEFT FROM BUILDING,2019,38.88664714,-77.09552113
264,ASSAULT & BATTERY,2019,38.86067432,-77.07341899
265,UNAUTHORIZED USE OF VEHICLE/ETC =$500,2019,38.86337539,-77.05936418
266,"HIT AND RUN - ATTENDED PROPERTY: DAMAGE $1,000",2019,38.89852512,-77.07184003
267,PETIT LARCENY: SHOPLIFTING,2019,38.86213043,-77.06147463
268,PETIT LARCENY: SHOPLIFTING,2019,38.89507376,-77.07362268
269,PETIT LARCENY: ALL OTHER LARCENY 3+ OFFENSE,2019,38.88010521,-77.11250591
270,POSSESSION OF MARIJUANA,2019,38.84619047,-77.11014779
271,PETIT LARCENY: ALL OTHER LARCENY 3+ OFFENSE,2019,38.86206429,-77.07583899
272,GRAND LARCENY: MOTOR VEHICLE THEFT,2019,38.88060676,-77.1078928
273,PETIT LARCENY: THEFT FROM MOTOR VEHICLE 3+ OFFENSE,2019,38.88045579999999,-77.11091882
274,OBTAINING MONEY BY FALSE PRETENSES $500,2019,38.86253539,-77.11833101
275,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.88919476,-77.12268533
276,GRAND LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.84085953,-77.0875712
277,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.88516388,-77.11781161
278,ASSAULT & BATTERY,2019,38.89544964,-77.12471863
279,"TAMPERING WITH VEHICLE (ENTER ONLY, NO DAMAGE OR THEFT)",2019,38.83630251,-77.09389051
280,GRAND LARCENY: ALL OTHER LARCENY,2019,38.90197594,-77.13352824
281,ASSAULT & BATTERY: FAMILY MEMBER,2019,38.84632965,-77.08891148
282,ASSAULT & BATTERY: FAMILY MEMBER,2019,38.88435276,-77.09540227
283,"HIT AND RUN - ATTENDED PROPERTY: DAMAGE $1,000",2019,38.8541771,-77.10232714
284,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.89970053,-77.13249883
285,GRAND LARCENY: THEFT OF MOTOR VEHICLE PARTS,2019,38.8458771,-77.07655813
286,PETIT LARCENY: SHOPLIFTING,2019,38.86058314,-77.05969017
287,POSSESSION OF MARIJUANA,2019,38.87701913,-77.11047003
288,BURGLARY: W/ INTENT TO COMMIT LARCENY/ASSAULT & BATTERY/OTHER FELONY,2019,38.88273247,-77.10305749999999
289,DUI,2019,38.88330739,-77.10389421
290,GRAND LARCENY: THEFT OF MOTOR VEHICLE PARTS,2019,38.84539181,-77.07487601
291,MANUF/SELL/GIVE/DISTRIBUTE/PWID CONTROL SUBSTANCE: FELONY,2019,38.89128725,-77.08238169
292,OBTAINING MONEY = $500 OR SIGNATURE BY FALSE PRETENSES,2019,38.88669586,-77.10774482
293,MANUF/SELL/GIVE/DISTRIBUTE/PWID CONTROL SUBSTANCE: FELONY,2019,38.89114878,-77.08449426
294,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY =$1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.85582327,-77.10802092
295,PETIT LARCENY: THEFT FROM MOTOR VEHICLE,2019,38.86641852,-77.05896706
296,PETIT LARCENY: THEFT FROM BUILDING,2019,38.85652751,-77.11224854
297,PETIT LARCENY: SHOPLIFTING,2019,38.86205806,-77.05585064
298,ASSAULT & BATTERY,2019,38.85428802,-77.12139885
299,OBTAINING MONEY BY FALSE PRETENSES $500,2019,38.85018339,-77.04908555
